,song_id,song_artist,song_lyrics
0,2760562,써니(SUNNY),"[사랑해 사랑해 사랑해 
천 번을 말해도 모자라
그리워 그리워 
그리운 순간마다 더 그리워
부르고 부르고 부르면 
자꾸만 떠오르는 얼굴
바라고 바라고 바라면 
언젠간 니가 내 맘 알아줄까

오직 너밖에 모르는 그런 나야 
너만을 사랑해 줄 사람 바로 나야
널 만난 세상이 내겐 
기적 같은 일이라 그런 거야
오직 너만을 원하는 그런 나야 
너만을 지켜 줄 사람도 바로 나야
니 곁에 너만 바라보는 
그게 나야 미련한 나야

니 얼굴 그리다 잠들면 
꿈속에서라도 만날까
원하고 원하고 원하면 
언젠간 니가 내 맘 알아줄까

오직 너밖에 모르는 그런 나야 
너만을 사랑해 줄 사람 바로 나야
널 만난 세상이 내겐
기적 같은 일이라 그런 거야
오직 너만을 원하는 그런 나야 
너만을 지켜 줄 사람도 바로 나야
니 곁에 너만 바라보는 그게 나야

내 마음이 말하잖아 너뿐이라고 말하잖아
너를 너만 사랑하는 이런 나야 이게 나야

오직 네게만 들려 줄 사랑얘기
한 사람만을 사랑했단 그런 얘기
혼자만 간직해 
아무도 모르는 사랑이 바로 나야

오직 널 위해 부르는 사랑노래
오직 내게만 들리는 그런 노래
늘 곁에 네게만 들려 줄 
사랑 노래 부르는 나야
]"
1,1599325,이필호,[]
2,6000159,-,[]
3,3429541,태연 (TAEYEON),"[나도 모르게 전화기를 들고 말았어 나야 참 오랜만이야
너무 힘이 들어서 잡기도 미안해서 너를 보낸 게 
후회돼서 한숨만 쉬는걸

너무 놀라서 말이 나오지도 않았어 떨리는 가슴만 붙잡았어
많이 힘든지 지금 어디 있는지 묻기도 전에 눈물이 흘렀어 
네 숨소리만 들려도 그래

눈물이 이렇게 흘러내리면 
아끼던 내 작은 추억들마저도 어쩔 줄 몰라
너무 아파서 서로 놓아주길 약속했지만 

자신 없을 때 가끔 숨소리라도 들려주길
숨을 쉬는 게 매일 눈을 뜨는 게 겨우 하루를 사는 게
죽는 것 보다 힘이 든다고 네게 말을 못했어 
걱정할 것 같아서 바보처럼 한숨만 쉬는 걸

눈물이 이렇게 흘러내리면 
아끼던 내 작은 추억들마저도 어쩔 줄 몰라
너무 아파서 서로 놓아주길 약속했지만 
자신 없을 때 가끔 숨소리라도 들려주길

하고픈 말이 많아도 난 아무 말도 못 하고 
다 괜찮다고 서로를 달래고 아파했어
다 되돌리면 우린 행복하기만 했어 놓지 못하고 있어

눈물이 이렇게 흘러내리면 아끼던 
내 작은 추억들마저도 어쩔 줄 몰라
너무 아파서 서로 놓아주길 약속했지만 
자꾸 네가 생각 날 땐 참을 수 없이 힘들 땐 

이렇게라도 가끔 숨소리라도 들려주길
]"
4,5803007,정상윤,"[또 떠났어
나와는 다른 길 따라
홀로 남아 멍하니 그댈 찾아요
따라가면
붙잡을 순 있지만
그대는 점점 멀어져만 가네
내게 그댄 잡히지 않는 바람 같아
마치 손에 쥐어도 흩어지는 모래 같아
사랑이란 숲에서
길을 잃은 거죠
어디가
어딘지
모르겠어
사랑이란 숲에서
또 길을 잃은 나죠
오 그대는 어디 있나요
떠나지 마요
내 삶의
시작과 끝이 그대인데
어떻게 설명해야 내 맘을 알죠?
그대 없인
난 아무도 아냐
나 혼잔 아무 의미 없어
영원히
사랑이란 숲에서
또 길을 잃은 나죠
낮마저
밤이되
그대 없인
오 그대는 나의 길
나의 빛이니까
날 두고 가지 마요
기다릴래
그대는
그대는
나의 운명
내 사랑아
사랑아
그대란
길을 잃은 나죠
길 길 길 잃었어
길 잃었어 길 잃었어
길을 잃은 나죠
길 길 길
길 잃었어
나죠
길을 잃은 나죠]"
5,30879249,태연 (TAEYEON),"[어제보다 많이 지쳐 보이는 그대의 표정
만져 보곤 알죠 바람이 또 아프게 했나요
왜 아무 말 못해요 좀 솔직해져도 돼요
내게 전부 말해봐요
밤을 새도 괜찮아요
차갑던 그대 하루가
나로 인해 녹을 수 있게요
I am all ears
I am all ears 듣고 있죠
두 눈 꼭 감아요 춥지 않게 다 덮어줄게요
눈치 보지 마요 혼자 견디지 않아도 되죠
왜 아무 말 없어요 좀 표현을 해도 돼요
내게 전부 말해봐요
밤을 새도 괜찮아요
차갑던 그대 하루가
나로 인해 녹을 수 있게요
걱정이죠 혹시 또 애써 서 있을까 봐
좀 더 참아요
여기 항상 내가 이 자리에
천천히 다 말해봐요
매일 나 귀 기울여요
차갑던 계절 지나면
또 피어날 거란 걸 알아요
I am all ears
I am all ears 듣고 있죠]"
6,3585416,이용윤,[]
7,30429258,로꼬,"[니 눈앞에 왔잖아 
내가 여기 있잖아 
너의 입술로 말을 해줘 say yes say yes
나도 모르게 
너에게 가고 있나봐 
부는 바람에 내 맘 전할래 love is true

간지럽게만 느껴지던 눈 빛이
이제는 익숙 하단듯이 웃음 짓지
그 쪽으로 걸어가기만 하면 돼
라고 친구들은 계속해서 날 부추기지만
 
아직은 무거운 구두의 뒷 굽
차라리 벗어버리고 싶은 이 밤의 끝
손을 내밀어 줬으면 해
맨발로 너에게 뛰어갈 수 있게 끔

복잡하기만한 하루에
매 시간 머리를 굴리지만 난
지금에서야 깨달은 건데
결국 다 버려지고 너만 남아

지난 봄에는 널 우연히 봤고
더 이상은 우연이 아니였으면 해
스치기만 했던 너의 손을 잡고
어떤 길이라도 같이 걸었으면 해

니 눈앞에 왔잖아 
내가 여기 있잖아 
너의 입술로 말을 해줘 say yes say yes
나도 모르게 
너에게 가고 있나봐 
부는 바람에 내 맘 전할래 love is true

우우우우 i need u
우우우우 baby 너에게 하고 픈 말 
내가 못다한 말 
baby baby baby boy love is true

어디든 갈 수 있어 
이건 거짓말이 아니야
이제부터는 나의 옆이 제일 편한 자리야

입술을 오므리고 내는 소리와 같이
내 이름을 불러줬음 좋겠어
내가 뒤로 떨어져서 걷더라도 단지
이 목소리를 들어줬음 좋겠어

니 눈앞에 왔잖아 
내가 여기 있잖아 
너의 입술로 말을 해줘 say yes say yes
나도 모르게 
너에게 가고 있나봐 
부는 바람에 내 맘 전할래 love is true

내가 바라는 단 한가지 
니가 내곁에 있어주는 것 
니가 날 보며 웃어주는것도 
내 얘길 들어주는것도 
난 그걸로도 충분한데 you

너를 보며 웃잖아 
두 눈이 말하잖아 
너도 이렇게 대답해줘 say yes say yes
너라서 좋아 
니가 날 울려도 좋아 
너는 나의 모든 전부니까 love is true
우우우우 i need u

우우우우 baby 너에게 하고 픈 말 
내가 못다한 말 
baby baby baby boy love is true ]"
8,4865596,태연 (TAEYEON),"[긴 악몽을 꾼 듯해 전쟁 같던 너란 사랑의 미소
나쁜 너의 매력에 바보처럼 발을 들였던 미로
아찔한 둘 사이 the Love &amp; the Hate
아슬한 경계선의 작은 틈새
모든 걸 뒤로한 채 태연하게
Oh I tried tried tried tried
완벽히 널 지워줄 Eraser 필요해 널 잊기 위해
깨끗이 날 씻겨줄 Eraser 다신 널 원하지 않게
목표를 향한 Racer 이 맘속 Chaser 날 새롭게 바꿔 Brand New
너라는 악몽에서 날 깨워줘 You
널 향한 Eraser
어쩜 이리 뻔뻔해 여전히 넌 내 주위를 맴돌아
네겐 너무 과분해 너 하나만 뜨겁게 사랑했던 난
아찔한 둘 사이 the Love &amp; the Hate
수 없는 어둠 속 고민만 밤새
널 향한 화살촉 손끝에 쥔 채
Oh I tried tried tried tried
완벽히 널 지워줄 Eraser 필요해 널 잊기 위해
깨끗이 날 씻겨줄 Eraser 다신 널 원하지 않게
목표를 향한 Racer 이 맘속 Chaser 날 새롭게 바꿔 Brand New
너라는 악몽에서 날 깨워줘 You
널 향한 Eraser
완전히 깨끗해진 내 맘 비춘 Headlight
네 모든 기억들은 나에게서 Fade out
몰아친 폭풍 속에 내 마음은 Green Light
Yeah I’ll be just fine Yeah I’ll be just fine
네게서 날 구해줄 Eraser 새로운 시작을 위해
깨끗이 날 씻겨줄 Eraser 작은 미련조차 없게
멈추지 않을 Racer 멀어진 Chaser 널 지우고 맘을 Re-New
지독한 너에게서 날 깨워줘 You
널 향한 Eraser Oh yeah
널 향한 Eraser]"
9,2980027,최성권,[]
