,album_id,song_id,song_title
0,4077924,6169824,나빌레라
1,4077924,6169825,Bad Dog
2,4077924,6169826,Picasso & Fernande Olivier
3,4077924,6169827,띵가띵가
4,4077924,6169828,Watch Me
5,4027244,6065344,I'm Not Cool
6,4027244,6065345,GOOD GIRL
7,4027244,6065346,Show Window
8,4027244,6065347,"Party, Feel, Love (Feat. 던 (DAWN))"
9,4027244,6065348,FLOWER SHOWER
10,20286535,31743260,FLOWER SHOWER
11,20173311,31108313,Upgrade
12,20173311,31108314,Mermaid
13,20173311,31108315,한걸음
14,20173311,31108316,Young & One
15,20133800,30870223,Lip & Hip
16,20133800,30870224,Lip & Hip (Inst.)
17,20116114,30765284,PARTY (FOLLOW ME) (Feat. 우석 Of 펜타곤)
18,20116114,30765285,베베 (BABE)
19,20116114,30765286,보라색 (With 이던 Of 펜타곤)
20,20116114,30765287,DART
21,20116114,30765288,자화상
22,20072451,30488535,Special Christmas
23,20072451,30488536,Special Christmas (Inst.)
24,20048025,30338166,U&ME♡
25,20048025,30338167,어때?
26,20048025,30338168,Do it!
27,20048025,30338169,나팔꽃 (Feat. 김아일)
28,20048025,30338170,꼬리쳐
29,20048025,30338171,Wolf (Feat. 한해)
30,526625,4527463,Run & Run (Intro)
31,526625,4527464,잘나가서 그래 (Feat. 정일훈 Of BTOB)
32,526625,4527465,얼음 땡 (Ice Ice) (Feat. 육지담)
33,526625,4527466,내 집에서 나가 (Feat. 권정열 Of 10cm)
34,526625,4527467,평온
35,442530,3609039,A Talk
36,442530,3609040,French Kiss
37,442530,3609041,빨개요
38,442530,-,[권리없는 곡] 어디부터 어디까지 (With 양요섭)
39,442530,-,[19금] Blacklist (feat. LE)
40,345326,2789707,흐트러지지 마
41,345326,2789708,Ice Cream (feat. Maboos)
42,345326,2789709,풋사과 (feat. 정일훈 Of BTOB)
43,345326,2789710,내 남자친구에게
44,345326,2789711,Very Hot (feat. 리원)
45,292253,2386861,Attention
46,292253,2386862,Bubble Pop!
47,292253,2386863,Downtown (feat. 전지윤)
48,292253,2386864,A Bitter Day (feat. 용준형 & G.NA)
49,292253,2386865,Just Follow (feat. Dok2)
50,291892,2383563,A Bitter Day (feat. 용준형 & G.NA)
51,245441,2119725,Say You Love Me
52,245441,2119726,Say You Love Me (Vicc Beat)
53,245441,2119727,Say You Love Me (Confession)
54,245441,2119728,Say You Love Me (Confession) (inst.)
55,220965,1973241,황야의 무법자
56,217216,1932145,작년 겨울
57,217216,1932146,작년 겨울 (inst.)
58,213521,1892422,Change (feat. 용준형 From Beast)
