,album_id,song_id,song_title
0,492669,3983042,한걸음
1,492669,3983043,다른 남자 말고 너
2,492669,3983044,Love Song
3,492669,3983045,녹아
4,492669,3983046,I Caught Ya
5,492669,3983047,Stuck
6,395499,3264705,놀러와
7,395499,3264706,Hush
8,395499,3264707,Love Is U
9,395499,3264708,Spotlight
10,395499,3264709,Hide & Sick
11,395499,3264710,(Mama) I′m Good
12,395499,3264711,Like U
13,395499,3264712,Hush (Party ver.)
14,395499,3264713,Touch
15,395499,3264714,Over U
16,395499,3264715,Time′s Up
17,395499,3264716,If I Were A Boy
18,395499,3264717,남자 없이 잘 살아
19,349466,-,[권리없는 곡] 누가 울어
20,349466,-,[권리없는 곡] 안개 낀 장충단 공원
21,349466,-,[권리없는 곡] 안개 속으로 가버린 사랑
22,349466,-,[권리없는 곡] 마지막 잎새
23,349466,-,[권리없는 곡] 두메산골
24,349466,-,[권리없는 곡] 영시의 이별
25,344367,2779936,남자 없이 잘 살아
26,344367,2779937,Ma Style
27,344367,2779938,If I Were A Boy
28,344367,2779939,Madness
29,344367,2779940,Time's Up
30,321783,2584202,Touch
31,321783,2584203,Lips
32,321783,2584204,Rock N Rule
33,321783,2584205,No Mercy
34,321783,2584206,Over U
35,321783,2584207,Touch (Newport Mix)
36,293749,2401442,하나부터 열까지
37,293749,2401443,Good-bye Baby
38,293749,2401444,Help Me
39,293749,2401445,Break It
40,293749,2401446,Mr. Johnny
41,293749,2401447,그 음악을 틀어줘요 DJ
42,293749,2401448,Step Up
43,293749,2401449,Breathe
44,293749,2401450,멍하니
45,293749,2401451,다시 사랑
46,293749,2401452,Love Alone
47,293749,2401453,Bad Girl Good Girl
48,293749,2401454,Good-bye Baby (Silver mix)
49,280844,2323213,Love Alone
50,239140,2084849,Step Up
51,239140,2084851,Breathe
52,239140,2084852,멍하니
53,239140,2084853,그 음악을 틀어줘요 DJ
54,228395,2023923,Bad Girl Good Girl
55,228395,2023924,딱 마주쳐
56,228395,2023925,다시 사랑
57,228395,2023926,Break It
