,album_id,song_id,song_title
0,20594564,32976487,GODS
1,20588495,32951174,아름다운 구속
2,4088574,6206268,New Jeans
3,4088574,6206291,Super Shy
4,4088574,6208880,ETA
5,4088574,6208707,Cool With You
6,4088574,6208881,Get Up
7,4088574,6208882,ASAP
8,4087920,6203741,Zero (J.I.D Remix)
9,4085101,6195172,Zero
10,4082425,6186207,OMG
11,4082425,6184997,Ditto
12,4078016,6170060,Attention
13,4078016,6170217,Hype Boy
14,4078016,6171084,Cookie
15,4078016,6170218,Hurt
