,artist_id,artist_name,album_id,album_title,release_date
0,80097978,Apink (에이핑크),4085185,SELF,2023.04.05
1,80097978,Apink (에이핑크),4074495,나만 알면 돼,2022.04.19
2,80097978,Apink (에이핑크),4071196,HORN,2022.02.14
3,80097978,Apink (에이핑크),4041997,고마워 (Thank you),2021.04.19
4,80097978,Apink (에이핑크),20318375,LOOK,2020.04.13
5,80097978,Apink (에이핑크),20247880,Everybody Ready?,2019.04.19
6,80097978,Apink (에이핑크),20220689,PERCENT,2019.01.07
7,80097978,Apink (에이핑크),20176765,ONE & SIX,2018.07.02
8,80097978,Apink (에이핑크),20161539,기적 같은 이야기,2018.04.19
9,80097978,Apink (에이핑크),14138643,Pink Stories,2017.12.27
10,80097978,허각,20111733,'‘PLAN A’ THIRD EPISODE,2017.08.03
11,80097978,Apink (에이핑크),20104918,Pink UP,2017.06.26
12,80097978,Apink (에이핑크),20093505,Always,2017.04.19
13,80097978,Apink (에이핑크),13087992,Pink Doll,2016.12.21
14,80097978,Apink (에이핑크),20072044,Dear,2016.12.15
15,80097978,Apink (에이핑크),20057193,Pink Revolution,2016.09.26
16,80097978,Apink (에이핑크),20031521,네가 손짓해주면,2016.04.19
17,80097978,Apink (에이핑크),542259,Sunday Monday (Japanese Version),2015.12.09
18,80097978,A Pink,13115160,Pink Season,2015.09.02
19,80097978,Apink (에이핑크),518371,Pink MEMORY,2015.07.16
20,80097978,Apink (에이핑크),13061827,Luv (Japanese Version),2015.05.20
21,80097978,Apink (에이핑크),497612,새끼손가락,2015.04.19
22,80097978,Apink (에이핑크),13061850,Mr. Chu (On Stage) (Japanese Version),2015.02.18
23,80097978,Apink (에이핑크),465411,Pink LUV,2014.11.24
24,80097978,Apink (에이핑크),13061861,NoNoNo,2014.10.22
25,80097978,Apink (에이핑크),421783,Pink Blossom,2014.03.31
26,80097978,Apink (에이핑크),407699,Good Morning Baby,2014.01.13
27,80097978,포미닛(4minute),400081,크리스마스 노래,2013.12.03
28,80097978,Apink (에이핑크),376997,Secret Garden,2013.07.05
29,80097978,Apink (에이핑크),334428,BUBIBU,2012.07.06
30,80097978,Apink (에이핑크),328921,UNE ANNEE,2012.05.09
31,80097978,Apink (에이핑크),327143,4월 19일,2012.04.19
32,80097978,Apink (에이핑크),313419,Snow Pink,2011.11.22
33,80097978,Various Artists,298873,보스를 지켜라 (SBS 수목드라마),2011.09.07
34,80097978,Apink (에이핑크),295329,보스를 지켜라 (SBS 수목드라마) Part.1,2011.08.03
35,80097978,Apink (에이핑크),291011,It Girl,2011.06.23
36,80097978,Apink (에이핑크),278251,Seven springs of Apink,2011.04.19
