,artist_id,artist_name,album_id,album_title,release_date
0,20056456,(여자)아이들,33151374,HEAT,2023.10.05
1,20056456,(여자)아이들,32760367,HEAT (Clean Ver.),2023.10.04
2,20056456,(여자)아이들,32224865,I DO (Clean Ver.),2023.07.13
3,20056456,(여자)아이들,32224860,I DO,2023.07.13
4,20056456,(여자)아이들,4086320,I feel,2023.05.15
5,20056456,Anne-Marie(앤 마리),4084424,Expectations,2023.03.09
6,20056456,(여자)아이들,4082355,Nxde (Steve Aoki Remix),2022.12.16
7,20056456,(여자)아이들,4080705,I love,2022.10.17
8,20056456,(여자)아이들,17978020,TOMBOY (R3HAB Remix),2022.05.20
9,20056456,(여자)아이들,4072414,I NEVER DIE,2022.03.14
10,20056456,(여자)아이들,4042762,Last Dance (Prod. GroovyRoom),2021.04.29
11,20056456,(여자)아이들,4028813,HWAA (Dimitri Vegas & Like Mike Remix),2021.02.05
12,20056456,(여자)아이들,4027181,화(火花),2021.01.27
13,20056456,(여자)아이들,4024084,I burn,2021.01.11
14,20056456,(여자)아이들,20358557,ALL OUT,2020.11.07
15,20056456,(여자)아이들,20356834,MORE,2020.10.29
16,20056456,(여자)아이들,20345924,THE BADDEST,2020.08.29
17,20056456,(여자)아이들,20345610,Oh my god,2020.08.26
18,20056456,(여자)아이들,990741,덤디덤디 (DUMDi DUMDi),2020.08.03
19,20056456,(여자)아이들,20336166,i'M THE TREND,2020.07.07
20,20056456,(여자)아이들,20325080,LATATA (English Ver.),2020.05.15
21,20056456,(여자)아이들,20316781,I trust,2020.04.06
22,20056456,(여자)아이들,20314789,LATATA,2020.03.26
23,20056456,Various Artists,20303610,투유프로젝트 - 슈가맨3 EPISODE.8,2020.02.01
24,20056456,Various Artists,20284513,퀸덤 <FINAL 컴백 싱글>,2019.10.25
25,20056456,Various Artists,20282999,퀸덤 <팬도라의 상자> Part. 1,2019.10.18
26,20056456,Various Artists,20280543,<불후의 명곡 – 전설을 노래하다> - Let's Dance Time 코요태,2019.10.05
27,20056456,(여자)아이들,20262506,Uh-Oh,2019.06.26
28,20056456,Various Artists,20256803,그녀의 사생활 OST,2019.05.30
29,20056456,(여자)아이들,20245347,그녀의 사생활 OST Part 1,2019.04.11
30,20056456,(여자)아이들,20232946,I made,2019.02.26
31,20056456,(여자)아이들,20227457,달려! (Relay) : Remixes,2019.02.09
32,20056456,(여자)아이들,20206916,달려! (Relay),2018.11.19
33,20056456,(여자)아이들,20204840,POP/STARS,2018.11.04
34,20056456,(여자)아이들,20186568,한(一),2018.08.14
35,20056456,현아,20173311,ONE,2018.06.17
36,20056456,(여자)아이들,20164240,I am,2018.05.02
