,album_id,song_id,song_title
0,20089211,30598589,I'll Be Yours
1,20089211,30598590,Thirsty
2,20089211,30598591,Love Again
3,20089211,30598592,Kumbaya (Come By Here) (소진 Solo)
4,20089211,30598593,Truth (Minah Solo)
5,20089211,30598594,Don't Be Shy
6,20089211,30598595,I'll Be Yours (Inst.)
7,20073386,30494040,Together as One
8,20073386,30494041,Talk about Love
9,20073386,30494042,Beautiful World
10,20073386,30494043,Together as One (Inst.)
11,20073386,30494044,Talk about Love (Inst.)
12,20073386,30494045,Beautiful World (Inst.)
13,515991,4447663,With Me
14,515991,4447664,링마벨 (Ring My Bell)
15,515991,4447665,마카롱
16,515991,4447666,Come Slowly
17,515991,4447667,Top Girl
18,515991,4447668,Darling
19,515991,4447669,휘파람
20,515991,4447670,Look At Me
21,515991,4447671,Something
22,515991,4447672,Timing
23,515991,4447673,보고싶어
24,515991,4447674,Show You
25,515991,4447675,Hello Bubble
26,515991,4447676,링마벨 (Ring My Bell) (inst.)
27,502857,4336203,Hello Bubble
28,502857,4336204,Hello Bubble (inst.)
29,457029,3717042,보고싶어
30,457029,3717043,Look At Me
31,457029,3717044,Show You
32,457029,3717045,I Don't Mind
33,457029,3717046,White Day
34,439868,3588892,Summer Party (Intro) (feat. David Kim)
35,439868,3588893,Darling
36,439868,3588894,Look At Me
37,439868,3588895,Timing
38,439868,3588896,Darling (inst)
39,422927,-,[권리없는 곡] 인연
40,422927,-,[권리없는 곡] 영
41,422927,-,[권리없는 곡] 한바탕 웃음으로
42,422927,-,[권리없는 곡] J에게
43,422927,-,[권리없는 곡] 사랑이 지는 이 자리
44,422927,-,[권리없는 곡] 알고 싶어요
45,405982,3336349,G.D.P Intro
46,405982,3336350,Something
47,405982,3336351,휘파람
48,405982,3336352,Show You
49,405982,3336353,Something (inst.)
50,392036,3235930,Let's Go
51,381747,-,[권리없는 곡] 해변의 여인 & 애상
52,381747,-,[권리없는 곡] 해석남녀
53,381747,-,[권리없는 곡] 해변의 여인
54,381747,-,[권리없는 곡] All For You
