,album_id,song_id,song_title
0,4091799,6217717,ZOOM ZOOM
1,4091687,6217446,Better Things (RAYE Remix)
2,4091478,6216729,Better Things (Tropkillaz Remix)
3,4091238,6215766,Spicy (Nitepunk Remix)
4,4090282,6213021,Better Things
5,4090282,6215049,Better Things (Sped Up Ver.)
6,4090282,6215050,Better Things (Slowed Down Ver.)
7,4090282,6215051,Better Things (Snack Ver.)
8,20586320,32941852,We Go
9,20586320,32941853,너와 함께라면
10,20586320,32941854,We Go (Inst.)
11,20586320,32941855,너와 함께라면 (Inst.)
12,20563467,32845386,Welcome To MY World (Feat. nævis)
13,20563467,32845387,Spicy
14,20563467,32845388,Salty & Sweet
15,20563467,32845389,Thirsty
16,20563467,32845390,I'm Unhappy
17,20563467,32845391,'Til We Meet Again
18,31381608,101784879,Benevolence (Tetris Original Motion Picture Soundtrack)
19,31381608,101784880,"Opportunities (Let's Make Lots of Money) [Full Length 7"" Mix] [2001 Remaster]"
20,31381608,101784881,The Final Countdown
21,31381608,101784882,Holding Out For A Hero (Japanese) [Tetris Motion Picture Soundtrack]
22,31381608,101784883,Hold On Tight
23,31381608,101784884,Heart Of Glass (Russian)
24,31381608,101784885,Tetris Theme Reworked
25,31381608,101784886,Two Tribes (feat. Kevin Blumenfeld)
26,31381608,101784887,Puzzle Piece
27,31381608,101784888,Fall Into Place
28,31381608,101784889,Stacking Squares
29,31381608,101784890,Schneidig Op Vor 79
30,31381608,101784891,Farewell Slavianka
31,31381608,101784892,Holding Out For A Hero (Russian)
32,31381608,101784893,Heart Of Glass
33,31276597,101496219,Hold On Tight
34,20500727,32679154,Girls (BRLLNT Remix)
35,20500727,32679155,Girls (Minit Remix)
36,20471520,32557291,Girls
37,20471520,32557292,도깨비불 (Illusion)
38,20471520,32557293,Lingo
39,20471520,32557294,Life′s Too Short
40,20471520,32557295,ICU (쉬어가도 돼)
41,20471520,32557296,Life′s Too Short (English Ver.)
42,20471520,32557297,Black Mamba
43,20471520,32557298,Forever (약속)
44,20471520,32557299,Dreams Come True
45,20475757,32574518,Life′s Too Short (English Ver.)
46,20475757,32574519,Life′s Too Short (Inst.)
47,20440469,32420226,Dreams Come True
48,20440469,32420227,Dreams Come True (Inst.)
49,20424398,32349593,aenergy
50,20424398,32349594,Savage
51,20424398,32349595,I'll Make You Cry
52,20424398,32349596,YEPPI YEPPI
53,20424398,32349597,ICONIC
54,20424398,32349598,자각몽 (Lucid Dream)
55,20421260,32337512,Next Level (Habstrakt Remix)
56,20421260,32337513,Next Level (IMLAY Remix)
57,20421260,32337514,Next Level (Lionclad Remix)
58,20397321,32235760,Next Level
59,20377645,32146188,Forever (약속)
60,20361192,32072017,Black Mamba
