,artist_id,artist_name,album_id,album_title,release_date
0,80216536,여자친구(GFRIEND),4013503,回:Walpurgis Night,2020.11.09
1,80216536,여자친구(GFRIEND),20337351,回:Song of the Sirens,2020.07.13
2,80216536,Various Artists,20306398,투유프로젝트 - 슈가맨3 EPISODE.10,2020.02.15
3,80216536,여자친구(GFRIEND),20303750,回:LABYRINTH,2020.02.03
4,80216536,여자친구(GFRIEND),20263150,여자친구 The 7th Mini Album 'FEVER SEASON',2019.07.01
5,80216536,여자친구(GFRIEND),20238870,한입만2,2019.03.20
6,80216536,여자친구(GFRIEND),20222528,여자친구 The 2nd Album 'Time for us',2019.01.14
7,80216536,여자친구(GFRIEND),20180906,여자친구 Summer Mini Album 'Sunny Summer',2018.07.19
8,80216536,Various Artists,767412,김비서가 왜 그럴까 (tvN 수목드라마) OST,2018.07.19
9,80216536,여자친구(GFRIEND),20174551,김비서가 왜 그럴까 (tvN 수목드라마) OST - Part.3,2018.06.21
10,80216536,여자친구(GFRIEND),20163624,여자친구 The 6th Mini Album 'Time for the moon night',2018.04.30
11,80216536,여자친구(GFRIEND),20119050,여자친구 The 5th Mini Album Repackage <RAINBOW>,2017.09.13
12,80216536,Various Artists,20118231,<불후의 명곡 - 전설을 노래하다> - 작곡가 김기표 편,2017.09.09
13,80216536,여자친구(GFRIEND),20111263,여자친구 The 5th Mini Album <PARALLEL>,2017.08.01
14,80216536,Various Artists,20090302,<불후의 명곡 - 전설을 노래하다> - 김광진 편,2017.04.01
15,80216536,여자친구(GFRIEND),20085090,여자친구 The 4th Mini Album 'THE AWAKENING',2017.03.06
16,80216536,여자친구(GFRIEND),20070138,포켓몬 더 무비 XY&Z - 볼케니온: 기계왕국의 비밀 OST,2016.12.05
17,80216536,Various Artists,20064857,<불후의 명곡 - 전설을 노래하다> - 통일 노래 특집,2016.11.05
18,80216536,여자친구(GFRIEND),20044548,여자친구 The 1st Album 'LOL',2016.07.11
19,80216536,Various Artists,20026836,<불후의 명곡 - 전설을 노래하다> - 고 박춘석 2편,2016.03.19
20,80216536,여자친구(GFRIEND),20018855,여자친구 3rd Mini Album 'SNOWFLAKE',2016.01.25
21,80216536,여자친구(GFRIEND),519842,여자친구 2nd Mini Album - Flower Bud,2015.07.23
22,80216536,여자친구(GFRIEND),477881,여자친구 1st Mini Album - Season Of Glass,2015.01.15
