,album_id,song_id,song_title
0,20081409,30545998,그려줘
1,20043693,30309201,Why So Lonely
2,20043693,30309202,아름다운 그대에게
3,20043693,30309203,Sweet & Easy
4,522255,4497159,Baby Don't Play
5,522255,4497160,Candle (feat. Paloalto)
6,522255,4497161,I Feel You
7,522255,4497162,Rewind
8,522255,4497163,Loved
9,522255,4497164,John Doe
10,522255,4497165,One Black Night
11,522255,4497166,Back
12,522255,4497167,OPPA (오빠)
13,522255,4497168,사랑이 떠나려 할 때
14,522255,4497169,없어 (GONE)
15,522255,4497170,이 순간
16,522255,-,[권리없는 곡] 20150711 (Talk) (CD Only)
17,334638,2703040,Like Money (feat. Akon)
18,331415,2675051,R.E.A.L
19,331415,2675052,Like this
20,331415,2675053,Hey Boy
21,331415,2675054,Girlfriend
22,331415,2675055,Sorry
23,331415,2675056,The DJ Is Mine
24,318477,2555418,The DJ Is Mine
25,318477,2555419,The DJ Is Mine (feat. School Gyrls)
26,318477,2555420,The DJ Is Mine (inst.)
27,312047,2492040,G.N.O.
28,312047,2492041,Be My Baby
29,312047,2492042,Girls Girls
30,312047,2492043,"Me, in"
31,312047,2492044,Sweet Dreams
32,312047,2492045,Stop!
33,312047,2492046,Dear. Boy
34,312047,2492047,두고두고
35,312047,2492048,SuperB
36,312047,2492049,Act Cool (feat. San E)
37,312047,2492050,Be My Baby (Ra.D Mix)
38,312047,2492051,Nu Shoes
39,223135,1993838,2 Different Tears
40,223135,1993839,2 Different Tears (English ver.)
41,223135,1993840,2 Different Tears (Remix ver.)
42,223135,1993841,Tell Me (English ver.)
43,223135,1993842,So Hot (English ver.)
44,223135,1993843,Nobody (English ver.)
45,189762,1764308,Nobody (Eng ver.)
46,170641,1655421,"Anybody (feat. Dynamic Duo, San E, J.Y. Park)"
47,164003,1605121,Intro
48,164003,1602537,Nobody
49,164003,1605122,I Tried
50,164003,1605123,Saying I Love You
51,164003,1605124,Nobody (Rainstone Remix)
52,164003,1605125,Nobody (inst.)
53,164003,1605126,I Tried (inst.)
54,164003,1605127,Saying I Love You (예은곡) (inst.)
55,164003,1605128,Nobody (Rainstone Remix) (inst.)
56,155817,1548063,So Hot
57,155817,1550182,This Time
58,155817,1550183,You're Out
59,155817,1550184,Tell Me (Rap ver.)
60,101833,1019283,아미송 (Army Song)
61,8031843,80387117,쪼요쪼요 (미니게임천국 3 주제가)
62,8031843,80387118,쪼요쪼요 (MR)
63,8029817,80361569,I Wanna
64,8029817,80361570,이바보
65,8029817,80361571,Tell Me (Sampling From 'Two Of Hearts')
66,8029817,80361572,Friend
67,8029817,80361573,Headache
68,8029817,80361574,뭐 어때 (feat. David Kim)
69,8029817,80361575,Wishing On A Star
70,8029817,80361576,Move (feat. 이민우 Mrising)
71,8029817,80361577,가져가
72,8029817,80361578,Good Bye
73,8029817,80361579,Bad Boy
74,8029817,80361580,미안한 마음
75,8029817,80361581,Irony
76,8026408,80325617,미안한 마음 ~tears~
77,8026408,80325618,미안한 마음 ~tears~ (inst.)
78,8024719,80301989,Irony (아이러니)
79,8024719,80301990,Bad Boy
80,8024719,80301991,미안한 마음
81,8024719,80301992,Irony (Tae Kwon - Daybreak Remix)
