,album_id,song_id,song_title
0,4091551,6217625,Off The Record
1,4091551,6218218,Baddie
2,4091551,6216911,Either Way
3,4091551,6218219,Holy Moly
4,4091551,6218220,OTT
5,4091551,6218221,Payback
6,4088804,6207021,I WANT
7,31696955,103048074,WAVE
8,31696955,103048192,Classic
9,31696955,103048220,After LIKE -Japanese version-
10,31696955,103048244,LOVE DIVE -Japanese version-
11,31696955,103048263,Take It -Japanese version-
12,31652771,102883735,WAVE
13,4084947,6195811,Blue Blood
14,4084947,6195812,I AM
15,4084947,6194446,Kitsch
16,4084947,6195813,Lips
17,4084947,6195814,Heroine
18,4084947,6195815,Mine
19,4084947,6195816,섬찟 (Hypnosis)
20,4084947,6195817,NOT YOUR GIRL
21,4084947,6195818,궁금해 (Next Page)
22,4084947,6195819,Cherish
23,4084947,6195820,Shine With Me
24,30536457,98499274,LOVE DIVE -Japanese version-
25,19874668,95665008,ELEVEN -Japanese version-
26,19874668,95665099,Queen of Hearts
27,19414582,94405013,ELEVEN -Japanese version-
28,4078936,6173112,After LIKE
29,4078936,6173113,My Satisfaction
30,4073710,6155955,LOVE DIVE
31,4073710,6155956,ROYAL
32,4068361,6138300,ELEVEN
33,4068361,6138301,Take It
