,album_id,song_id,song_title
0,20528353,32704240,FOREVER 1 (Matisse & Sadko Remix)
1,20528353,32704241,FOREVER 1 (Aiobahn Remix)
2,20528353,32704242,FOREVER 1 (Mar Vista Remix)
3,20528353,32704243,FOREVER 1 (Matisse & Sadko Remix) (Extended Ver.)
4,20528353,32704244,FOREVER 1 (Aiobahn Remix) (Extended Ver.)
5,20528353,32704245,FOREVER 1 (Mar Vista Remix) (Extended Ver.)
6,20484595,32612433,FOREVER 1
7,20484595,32612434,Lucky Like That
8,20484595,32612435,Seventeen
9,20484595,32612436,Villain
10,20484595,32612437,You Better Run
11,20484595,32612438,Closer
12,20484595,32612439,Mood Lamp
13,20484595,32612440,완벽한 장면 (Summer Night)
14,20484595,32612441,Freedom
15,20484595,32612442,종이비행기 (Paper Plane)
16,20111829,30740924,Girls Are Back
17,20111829,30740925,All Night
18,20111829,30740926,Holiday
19,20111829,30740927,FAN
20,20111829,30740928,Only One
21,20111829,30740929,One Last Time
22,20111829,30740930,Sweet Talk
23,20111829,30740931,Love Is Bitter
24,20111829,30740932,오랜 소원 (It’s You)
25,20111829,30740933,Light Up the Sky
26,20049090,30346639,그 여름 (0805)
27,20049090,30346640,그 여름 (0805) (Inst.)
28,539651,4625883,"GEE (DJ Beejay, Neck Towel Remix)"
29,539651,4625884,스모키걸 (DJ Soo Remix)
30,539651,4625885,"크레파스 (DJ Beejay, Neck Towel Remix)"
31,539651,4625886,짧은 치마 (Big Bounce Remix)
32,539651,4625887,"Oh! (DJ Beejay, Neck Towel Remix)"
33,539651,4625888,심쿵해 (Eastlight X KRE!N Remix)
34,539651,4625889,모나리자 (S2 & SJ Remix)
35,525657,4520629,Lion Heart
36,525657,4520630,You Think
37,525657,4520631,PARTY
38,525657,4520632,어떤 오후 (One Afternoon)
39,525657,4520633,Show Girls
40,525657,4520634,Fire Alarm
41,525657,4520635,Talk Talk
42,525657,4520636,Green Light
43,525657,4520637,Paradise
44,525657,4520638,Check
45,525657,4520639,Sign
46,525657,4520640,예감 (Bump It)
47,516261,4449554,PARTY
48,516261,4449555,Check
49,516261,4449556,PARTY (inst.)
50,498353,4304428,Catch Me If You Can (Japanese ver.)
51,498353,4304429,Girls (Japanese ver.)
52,495790,4283923,Catch Me If You Can
53,495790,4283924,Girls
54,447195,3643822,Genie (Japanese ver.)
55,447195,3643823,Gee (Japanese ver.)
56,447195,3643824,Run Devil Run (Japanese ver.)
57,447195,3643825,Mr.Taxi (Japanese ver.)
58,447195,3643826,Bad Girl
59,447195,3643827,Time Machine
60,447195,3643828,Paparazzi
61,447195,3643829,Oh! (Japanese ver.)
62,447195,3643830,All My Love Is For You
63,447195,3643831,Flower Power
64,447195,3643832,Beep Beep
65,447195,3643833,Love & Girls
66,447195,3643834,Galaxy Supernova
67,447195,3643835,My Oh My
68,447195,3643836,Mr.Mr. (Japanese ver.)
69,447195,3643837,Indestructible
70,421849,3454718,Light up This City
71,421849,3454720,Say Yes (feat. KRIS (EXO))
72,421849,3446785,Let Me In
73,421849,3454721,You Found Me
74,421849,3454722,"Cobu Love Theme / Static Invasion (feat. Tasha ""Dash"" Schumann)"
75,421849,3454723,Dance to the Drummers Beat
76,421849,3454724,Runnin' on Empty
77,421849,3454725,The Road (Finer Things) (feat. Nicky Da B)
78,421849,3454732,Fall For You
79,421849,3454726,NU 예삐오 (NU ABO)
80,421849,3454727,Simple Simon
81,421849,3454728,Cheap Creeper
82,421849,3454729,Catching Shadows
83,421849,3454730,Now We Know
84,421849,3454731,Breathing Love
85,415444,3403659,Mr.Mr.
86,415444,3403660,Goodbye
87,415444,3403661,유로파 (Europa)
88,415444,3403662,Wait A Minute
89,415444,3403663,백허그 (Back Hug)
90,415444,3403664,Soul
91,401848,3310891,Gossip Girls
92,401848,3310892,Motorcycle
93,401848,3310893,Flyers
94,401848,3310894,Galaxy Supernova
95,401848,3310895,Love & Girls
96,401848,3310896,Beep Beep
97,401848,3310897,My Oh My
98,401848,3310898,Lips
99,401848,3310899,Do The Catwalk
100,401848,3310900,Karma Butterfly
101,401848,3310901,リンガ・フランカ
102,401848,3310902,Everyday Love
103,389818,3215916,Galaxy Supernova
